content,Theme,label
@mimre_shahbazi با ترند کردن هشتگ هایی مثل #arbaeen باعث شد تعداد زیادی از افراد خارجی که در کشورشون مسائل اینچنینی در بایکوت خبری هست آشنا بشن من دیدم افرادی خارجی که بخاطر همین هشتگ ها در عید غدیر با امیرالمونین آشنا شدن اگر شناسوندن امیرالمونین بی فایدس از نظر شما که اون یه بحث دیگه ایه,,positive
#الوداع مولا حسین ع #Arbaeen https://t.co/S9Whxx0ie0,,positive
"قربون هم حسین شهید و هم حسین زمان (مهدی موعود ارواحنالفداه) برم که هر دوشون مظلومند و بر حق.
هر روز که میگذرد و حسین زمان ظهور نمی کند یعنی عاشوراست. بر امام حسین یک عاشورا گذشت. به نظر شما بر حسین زمان تاکنون چند عاشورا گذشته است. 
#Arbaeen","انتظار،عشق،",positive
"صِراطَ الَّذِینَ أَنْعَمْتَ عَلَیْهِمْ
غَیْرِ الْمَغْضُوبِ عَلَیْهِمْ
وَلاَ الضَّآلِّینَ

#arbaeen #karbala #shia #yahussain #imamhussain #muharram #imamali #labbaikyahussain #najaf #azadari #yaali #azadar #azadarehussain #imam #iraq #imammehdi #ashura  #islam #iran #ImamMahdi https://t.co/oaMwFBcoru",,positive
"اربعینِ حسینی ❤️
#اربعین_حسینی 
#اربعین_2021 
#Arbaeen_e_Hussaini 
#Arbaeen2021 
#Arbaeen 
#لبيك_يا_حسين https://t.co/yAZjHIymYB",,positive
"السلام علی الحسین و علی شهداء الحسين
#مطار_بغداد 
#بغداد 
#Arbaeen_SpiritualJourney 
#Arbaeen
#Arbaeen2021 
#Arbaeenwalk",,positive
"#Arbaeen

#karbela

السلام علیک یا ابا عبدالله https://t.co/iuthEm1bTT",,positive
"دور شش گوشه گرفتند و زیارت کردند
 من در این گوشه ی دل همرهِ نجوا ماندم😔
کی نصیبم شود آن روضه ی رضوانِ نجف
 تا نگویم به خودم باز دریغا ماندم!🕯🥀💔
#حب_الحسین_یجمعنا 
#اربعین 
#Arbaeen","عشق،غم،جامانده",positive
"@AlkafeelAbbas اللهم صلی علی محمد و آل محمد و عجل فرجهم

#Arbaeen2021 
#Arbaeen 
#Arbaeenwalk 
#Arbaeen_SpiritualJourney",,positive
"اسلام علیک یا ابوالفضل العباس
السلام علیک یا باب الحوائج
🚩🚩🏴🏴
 #walk 
#Arbaeenwalk 
#Arbaeen2021 
#Arbaeen 
#WalkTowardsHussain https://t.co/Ej84ZjbMPJ",,positive
"لبیک یا حسین (ع)
#Arbaeen_e_Hussaini #Arbaeen https://t.co/wY2xKQFXXC",,positive
"مثلاً آب بنوشی واسه سلام بر حسین روبه روی حرم باشی
به حقیقت رسیدن آرزو
#Arbaeen2021 
#Arbaeen https://t.co/4OCtb3gEnc","عشق،آرزو",positive
"حسین(ع)سب کا♥️
#Arbaeen_e_Hussaini 
#Arbaeen 
#Karbala https://t.co/bR0lvKC4ff",,positive
"این چه مصیبتی بود که دوباره برماتحمیل شد خدایابه عشق امام حسین مارواین همه امتحان نکن دیگه تحمل دوری نداریم من زیارت امام حسین میخوام دیگه صبوری ندارم تورابه اربعین حسین
#Arbaeen 2021","عشق،آرزو،دلتنگی،غم",positive
"انتشار یا بازتوییت احادیثی که توییت میکنم مجاز هست. دست به دست هم امام حسین را به همگان میشناسانیم.
#hosein #arbaeen",,positive
